Product name,type of product,state,description
Sandur Lambani Embroidery,Non Food Products Vegetal-based fibres and textile / Embroidery,Karnataka,"Sandur Lambani embroidery is a traditional craft of the Lambani community in Karnataka, characterized by bright colors, non-figurative patterns, and extensive embellishments. It combines stitching, patchwork, appliqué, and mirror work on cotton or silk fabrics, often decorated with beads, shells, coins, tassels, and metal ornaments. The process involves dyeing, pattern marking, hand embroidery by artisans, and finishing with additional decorative elements. The craft reflects the community’s nomadic heritage and is preserved through collective artisan practices."
Sanganeri Hand Block Printing,Non Food Products Vegetal-based fibres and textile / Printing,Rajasthan,"Sanganeri hand block printing is a traditional textile printing craft from Rajasthan with a history spanning over 300 years, known for its detailed hand-carved block designs and fine printing techniques."
Sankheda Furniture,Non Food Products Wooden products / Furniture,Gujarat,"Sankheda furniture from Gujarat is a traditional craft with origins linked to migrating artisans and centuries-old lacquer techniques. Made primarily from seasoned teak wood, it is characterized by turned wood forms, vibrant painted surfaces, and lacquered finishes with floral and geometric motifs. The production involves shaping wood on a lathe, smoothing, applying primer, hand-painting designs, and finishing with lacquer using heat and polishing. The furniture is known for its durability, strength, and distinctive glossy appearance, achieved through skilled craftsmanship passed down generations."
Santiniketan Leather Goods,Non Food Products Leather and leather based products / Craft,West Bengal,"Santiniketan leather goods, developed in West Bengal since 1932 under Rathindranath Tagore, are handcrafted using vegetable-tanned leather. Known for their glossy finish and embossed designs, the products feature traditional motifs and retain permanent impressions. The process involves preparing leather, cutting, embossing or batik dyeing with natural dyes, glazing, assembling with linings and accessories, and finishing. The craft emphasizes detailed manual techniques and distinctive aesthetic qualities."
Santipur Saree,Non Food Products Vegetal-based fibres and textile / Cotton sarees,West Bengal,"Santipur sarees from West Bengal are traditional cotton textiles known for fine texture achieved through balanced warp and weft density. They feature floral, geometric, and cultural motifs, often with distinctive borders and pallus. Historically produced for domestic and international markets, the sarees are woven on handlooms using fine cotton yarn, with processes including sizing, warping, drafting, and weaving, often enhanced with jacquard designs."
Screw Pine Crafts of Kerala,Non Food Products Wooden products / Craft,Kerala,"Screw Pine Crafts of Kerala are traditional handicrafts made using the leaves of the screw pine plant, which are processed, dried, and woven into mats, baskets, and decorative items. Known for their durability and natural texture, these products reflect eco-friendly craftsmanship."
Shaphee Lanphee,Non Food Products Vegetal-based fibres and textile / Shawl,Manipur,"Shaphee Lanphee is a traditional handwoven shawl from Manipur historically awarded by Meitei kings to distinguished individuals. Woven on loin or frame looms using cotton or silk yarn, it features a black base with red borders and intricate motifs created through needle embroidery without frames. The process involves spinning, dyeing with natural materials, weaving the fabric in two halves, and detailed embroidery of symbolic motifs. The shawl holds cultural significance as a mark of honor and identity."
Siddipet Gollabama,Non Food Products Vegetal-based fibres and textile / Cotton sarees,Telangana,"Siddipet Gollabama sarees are handwoven textiles from Telangana distinguished by the Gollabama motif, typically woven into the pallu. The sarees are produced on handlooms using cotton or sometimes silk, with the motif created separately and integrated into the design. Each saree takes several days to complete, reflecting skilled craftsmanship and traditional weaving practices."
Sikki Grass Products of Bihar,Non Food Products Vegetal-based fibres and textile / Craft,Bihar,"Sikki Grass Products are traditional handicrafts from Bihar made using golden-hued sikki grass. Artisans weave this grass into decorative and utilitarian items such as baskets, boxes, and toys, known for their fine detailing and natural sheen."
Sikki Grass Work of Bihar,Non Food Products Vegetal-based fibres and textile / Craft,Bihar,"Sikki Grass Work is a traditional craft of Bihar involving the coiling and stitching of sikki grass to create decorative objects. The craft is characterized by intricate patterns, vibrant colors, and lightweight eco-friendly products."
Silver Filigree of Karimnagar,Non Food Products Metal / Craft,Telangana,"Silver filigree of Karimnagar is a traditional craft involving intricate designs made from fine silver wires, creating lace-like patterns. The process includes melting high-purity silver, drawing it into thin wires, twisting and shaping into motifs such as flowers and creepers, soldering, and assembling into decorative objects. The craft is highly labor-intensive, requiring precision, skilled handling, and multiple stages of heating, shaping, and polishing to achieve delicate, detailed designs."
Sohrai-Khovar Painting,Non Food Products / Others / Painting - handicraft,Jharkhand,"Sohrai–Khovar painting is an ancient tribal mural art from Jharkhand traditionally created on mud walls using natural earth pigments. The art uses locally sourced materials such as colored soils, water, and simple tools like fingers, cloth, or chewed twigs. Two main techniques are used: comb-cutting, which reveals layered designs, and freehand painting on wet surfaces. The motifs and colors carry symbolic meanings related to fertility, nature, and cultural beliefs, and the practice has expanded to other surfaces like paper and cloth while retaining traditional methods."
Solapur Chaddar,Non Food Products Vegetal-based fibres and textile / Textile,Maharashtra,"Solapur Chaddars are traditional cotton textiles produced for over a century in Maharashtra, known for their quality and widespread domestic and international use. The production involves multiple stages including dyeing, winding, warping, weaving on handlooms or power looms with jacquard designs, cutting, finishing, and packing. The craft is characterized by yarn dyeing techniques and distinctive woven patterns, with both traditional and modern looms used for large-scale production."
Solapur Terry Towel,Non Food Products Vegetal-based fibres and textile / Textile,Maharashtra,"Solapur terry towels are textile products from Maharashtra with a long history of production alongside chaddars. Made using cotton yarn, the process includes dyeing, winding, warping, and weaving on handlooms or modern looms, followed by finishing and packaging. Known for jacquard designs and quality weaving, the industry uses both traditional and advanced machinery for efficient large-scale production."
Srikalahasthi Kalamkari,Non Food Products Vegetal-based fibres and textile / Fabric,Andhra Pradesh,"Srikalahasthi Kalamkari is a traditional hand-painted textile art from Andhra Pradesh, historically produced for trade and religious themes. The craft uses a bamboo pen (kalam) to draw freehand designs on cloth treated with natural substances like buffalo milk and tannic acid. Natural dyes derived from plants, minerals, and fermented solutions are applied through a detailed process involving outlining, dyeing, and bleaching. The art is known for its intricate illustrations, cultural narratives, and revival through institutional support and artisan training."
Sujini Embroidery Work of Bihar,Non Food Products Vegetal-based fibres and textile / Fabric,Bihar,"Sujini embroidery from Bihar is a traditional craft practiced mainly in villages of Muzaffarpur and nearby regions. It involves hand embroidery on fabrics such as cotton, silk, or tussar using simple stitches like running and chain stitch. Designs are drawn directly on cloth and depict narrative themes created by women artisans. The process is labor-intensive and often collaborative, especially for larger items, reflecting local culture and storytelling traditions."
Surat Zari Craft,Non Food Products Vegetal-based fibres and textile / Fabric,Gujarat,Surat Zari Craft is a traditional textile embellishment from Gujarat involving the production of metallic threads made from silver and gold. These threads are used in weaving and embroidery to create rich fabrics and garments with intricate designs.
Swamimalai Bronze Icons,Non Food Products Metal / Craft,Tamil Nadu,"Swamimalai bronze icons are traditional sculptures made in Tamil Nadu following ancient Shilpa Shastra guidelines. Each piece is individually crafted using alluvial clay moulds and traditional casting techniques, resulting in solid metal icons with high-quality finish. The process ensures uniqueness, as no two pieces are identical, reflecting precise craftsmanship and adherence to classical standards."
Tangaliya Shawl,Non Food Products Vegetal-based fibres and textile / Shawl,Gujarat,"Tangaliya Shawls are traditional woven textiles from Gujarat made using a unique dot-weaving technique that creates bead-like patterns on the fabric. Crafted by the Dangasia community, these shawls are known for their texture, warmth, and distinctive motifs."
Tanjore Dolls,Non Food Products Others / Doll,Tamil Nadu,"Tanjore Dolls, also known as Thanjavur Thalaiyatti Bommai, are traditional handcrafted dolls from Tamil Nadu characterized by their bobble-head design. Made from materials like clay and papier-mache, they are brightly painted and often depict cultural and mythological figures."
Tawlhlohpuan,Non Food Products Vegetal-based fibres and textile / Fabric,Mizoram,"Tawlhlohpuan is a traditional Mizo textile historically associated with bravery and worn by distinguished warriors, later adopted for ceremonial and social use. It features distinctive striped patterns with precise weaving that prevents color overlap. Traditionally woven on loin looms using cotton yarn dyed with natural materials, the process involves starching, warping, and weaving in warp-faced plain weave. The fabric holds strong cultural significance as a symbol of courage and status."
Telia Rumal,Non Food Products Vegetal-based fibres and textile / Cotton textile,Telangana,"Telia Rumal is a traditional handwoven cotton textile from Telangana made using double ikat techniques and natural dyeing processes. Known for its geometric and later figurative patterns in red, black, and white, it has historical links to trade with the Middle East and other regions. The fabric is treated with oil, giving it a distinctive texture, and is valued for its sweat-absorbing properties and durability, especially in coastal climates."
Temple Jewellery of Nagercoil,Non Food Products Metal / Jewellery,Tamil Nadu,"Temple Jewellery of Nagercoil is a traditional form of jewelry from Tamil Nadu inspired by temple architecture and deities. Crafted using gold or gold-plated metals with embedded stones, these ornaments are commonly used in classical dance forms and religious occasions."
Thanjavur Art Plate,Non Food Products Metal / Craft,Tamil Nadu,"Thanjavur Art Plates are traditional tri-metal crafts made by embossing and engraving designs, often in silver, onto a base of brass or copper. The process involves skilled manual work to create intricate figures and motifs, with silver elements fixed onto the base metal. Known for their craftsmanship and elegance, these plates are distinctive to Thanjavur and are produced for both domestic use and export."
Thanjavur Doll,Non Food Products Processed minerals / Doll,Tamil Nadu,"Thanjavur dolls are traditional handcrafted toys from Tamil Nadu known for incorporating a balancing mechanism based on gravitational principles. Made using materials such as plaster of Paris, wood pulp, and tuber flour, they are uniquely designed to maintain stability and are produced using established crafting techniques."
Thanjavur Netti Works,Non Food Products Wooden products / Carving wood craft,Tamil Nadu,"Thanjavur Netti works are traditional pith crafts originating from Tamil Nadu, historically linked to religious and festive uses. Made from the soft, white pith of aquatic plants, the craft involves cutting, shaping, and assembling delicate pieces into miniature figures, temple models, and decorative items. The process includes drying, carving, and assembling using simple tools, with high emphasis on precision and craftsmanship. Known for lightweight and intricate designs, the finished pieces are often mounted and preserved under glass."
Thanjavur Paintings,Non Food Products Others / Painting,Tamil Nadu,"Thanjavur paintings are traditional artworks known for their use of gold foil, precious and semi-precious stones, and relief work to create richly decorated images. The paintings feature stylized compositions with prominent central figures, ornate jewellery, and vibrant colors, often producing a three-dimensional effect. Each piece is handcrafted and unique, commonly used for devotional purposes due to their portable format."
Thanjavur Veenai,Non Food Products Wooden products / Music instrument,Tamil Nadu,"Thanjavur veena is a traditional string instrument from Tamil Nadu with origins linked to early musical innovations. Crafted from a specific variety of matured jackwood, it features a unique resonator structure and skilled workmanship. The instrument is produced by local artisans using traditional techniques, resulting in distinctive sound quality and construction."
Thawa Art Work,Non Food Products Metal / Jewellery,Rajasthan,"Thawa art is a traditional craft involving the fusion of 23-carat gold foil onto colored glass, practiced for several centuries. The process includes preparing a silver frame, engraving designs on gold foil, filling with lac, and fusing onto glass through controlled heating and cooling. Intricate patterns are created through stages of drawing, carving, and cutting, resulting in detailed decorative items known for their precision and unique appearance."
Thirubuvanam Silk Sarees,Non Food Products Vegetal-based fibres and textile / Silk sarees,Tamil Nadu,"Thirubuvanam silk sarees are traditional handwoven textiles from Tamil Nadu, produced using fine silk derived from mulberry-fed silkworms. Known for their intricate brocades and motifs, the sarees are crafted on handlooms and reflect a long-standing weaving tradition. The craft remains an important livelihood for local artisans and preserves regional textile heritage."
Thirukannur Papier Mache Craft,Non Food Products Other vegetal-based products / Paper mache craft,Kerala,Thirukannur Papier Mache Craft is a traditional art form from Kerala involving the molding of paper pulp into decorative items. The products are hand-painted with vibrant colors and often feature religious and cultural themes.
Toda Embroidery,Non Food Products Animal-based fibres and textile / Embroidery,Tamil Nadu,"Toda Embroidery is a traditional craft practiced by the Toda tribe of the Nilgiri Hills in Tamil Nadu. Known for its distinctive red and black geometric patterns on white fabric, it is created using a unique reverse darning technique."
Udayagiri Wooden Cutlery,Non Food Products Wooden products / Cutlery,Andhra Pradesh,"Udayagiri wooden cutlery is a traditional craft from Andhra Pradesh with origins dating back to medieval periods, influenced by Persian and Muslim cultural motifs. Made from locally available woods such as nardi, devadari, bikki, and kaldi, the products include spoons, forks, bowls, and decorative items. The process involves shaping wood using drills and finishing with files, with skills passed down through generations. The craft is known for its durability, variety of designs, and use of forest resources."
Udupi Malligae,Non Food Products Others / Jasmine flower,Karnataka,"Udupi Malligae is a traditional jasmine variety cultivated in the coastal region of Karnataka, particularly around Shankarapura. Known for its strong fragrance and long-lasting buds, it has been cultivated for centuries and is widely used for garlands and export. The crop thrives in the local geographical conditions, contributing to its distinctive quality and market demand."
Udupi Sarees,Non Food Products Vegetal-based fibres and textile / Cotton sarees,Karnataka,"Udupi Sarees are traditional cotton sarees from Karnataka woven using fine yarns on handlooms. Known for their lightweight texture, durability, and simple elegant designs, these sarees are suited for everyday wear and cultural occasions."
Uppada Jamdani Sarees,Non Food Products Vegetal-based fibres and textile / Sarees,Andhra Pradesh,"Uppada Jamdani sarees are traditional handwoven textiles from Andhra Pradesh with origins dating back to the 17th century and later revival through training initiatives. Made using cotton, silk, or combinations with zari, the sarees are characterized by intricate designs that blend seamlessly into the fabric and are visible on both sides without loose threads. The production involves processes such as yarn preparation, dyeing, warping, and manual weaving, often using design templates like graph or polythene patterns. The craft relies on high skill and favorable local climatic conditions for achieving fine texture and finish."
Uttarakhand Aipan,Non Food Products,Uttarakhand,"Uttarakhand Aipan is a traditional ritualistic folk art practiced in the Kumaon region, created using rice paste on red backgrounds. Characterized by geometric and symbolic motifs, it is commonly used to decorate floors and walls during religious ceremonies and auspicious occasions."
Uttarakhand Ringal Craft,Non Food Products / Vegetal-based fibres and textile,Uttarakhand,"Uttarakhand Ringal Craft involves the use of ringal, a type of Himalayan bamboo, to create a variety of handcrafted products such as baskets, mats, and utility items. Known for its strength and flexibility, the craft reflects sustainable and eco-friendly practices."
Uttarakhand Tamta Product,Non Food Products / Metal / Copper craft - handicraft,Uttarakhand,"Uttarakhand Tamta Products are traditional copper utensils and artifacts made by the Tamta community using hammering and shaping techniques. Known for their durability and utility, these items include vessels, decorative pieces, and ritual objects."
Uttarakhand Thulma,Non Food Products / Animal-based fibres and textile / Woolen fabric - handicraft,Uttarakhand,"Uttarakhand Thulma is a traditional woolen blanket made from sheep wool in the hill regions of Uttarakhand. Handwoven using indigenous techniques, it is known for its warmth, durability, and use in cold climatic conditions."
Varanasi Glass beads,Non Food Products Processed minerals / Glass bead,Uttar Pradesh,"Varanasi glass beads are traditional handcrafted items made using lamp-working techniques, where glass rods are melted using hydrocarbon fuel flames. Known for their uniform holes and varied sizes, the beads are shaped manually without heavy machinery. Each bead is unique despite visual similarity, reflecting skilled craftsmanship and long-standing artisanal traditions in the region."
Varanasi Soft Stone Jali Work,Non Food Products Processed minerals / Craft,Uttar Pradesh,"Varanasi soft stone jali work is an ancient craft involving intricate carving of soft stones such as soapstone and marble. Artisans shape and carve stone using simple tools like chisels and hammers, followed by grinding, polishing, and finishing. The craft produces items ranging from religious sculptures to decorative objects, often featuring detailed perforated designs. Each piece is unique due to natural variations in stone and hand craftsmanship, reflecting cultural, mythological, and contemporary themes."
Varanasi Wooden Lacquerware & Toys,Non Food Products Wooden products / Craft,Uttar Pradesh,"Varanasi Wooden Lacquerware and Toys are traditional handcrafted items made using wood and finished with lacquer coatings. Produced using lathe-turning techniques, these items are known for their glossy finish, vibrant colors, and intricate designs."
Venkatagiri Sarees,Non Food Products Vegetal-based fibres and textile / Cotton sarees,Andhra Pradesh,"Venkatagiri sarees are traditional handwoven textiles produced by cooperative weavers’ societies, reflecting established weaving practices and regional craftsmanship."
Villianur Terracotta Works,Non Food Products Processed minerals / Craft,Puducherry,"Villianur terracotta works are traditional crafts with origins tracing back to ancient times, reflecting continuous production and long-standing artisanal practices."
Wangkhei Phee,Non Food Products Vegetal-based fibres and textile / Cotton fabric,Manipur,"Wangkhei Phee is a traditional Manipuri cotton fabric known for its delicate, transparent texture achieved by spacing warp and weft threads apart. Woven from fine cotton yarn, it features uniform patterned motifs placed at intervals across the fabric, requiring high weaving precision and skill."
Warangal Durries,Non Food Products Vegetal-based fibres and textile / Cotton products,Telangana,"Warangal durries are traditional cotton floor coverings from Telangana with origins linked to the Kakatiya period. Produced in and around Warangal, they use locally available cotton and involve processes such as warping, starching with natural adhesives, and weaving. Known for durable texture and distinctive regional designs, the craft is sustained by hereditary weavers and long-standing weaving traditions."
Warli Painting,Non Food Products Others / Painting,Maharashtra,"Warli painting is an ancient tribal art from Maharashtra depicting daily life, rituals, and nature using simple geometric forms like circles, triangles, and lines. Traditionally created on mud and cow-dung surfaces with white pigment made from rice paste, it serves as a medium of cultural expression and communication. The art reflects social, agricultural, and spiritual themes and is practiced during festivals and ceremonies, preserving tribal traditions and oral narratives."
Wooden Mask of Kushmandi,Non Food Products Wooden products / Masks,West Bengal,"Wooden masks of Kushmandi from West Bengal are traditional crafts associated with ritual performances such as Gomira dance, depicting mythological characters. Made from a single piece of Gamar wood, the process involves cutting, seasoning, carving with chisels, and finishing with natural varnish and colors. The craft emphasizes durability, intricate detailing, and strong links to local culture, with skills passed down through generations."
